Depth (m),Al,Si,K,Ca,Ti,Fe
110.52,13.762018139513055,44.309165726827295,2.5589007309867786,31.799426372743916,0.8345063394100704,6.7359826905188855
110.54,13.886417612541887,43.99355668298444,2.5376732255249346,32.336645029624535,0.8344549410503322,6.411252508273862
110.56,13.698434705350499,44.35937084508655,2.5672759427097307,32.08543677999093,0.8515853355101286,6.437896391352156
110.58,13.909761082962488,44.43177304810666,2.7489253069541935,31.35771672685175,0.8632859263118107,6.688537908813101
110.6,13.300066731226517,44.48266118754539,2.745550369814324,31.963328034519005,0.8694501955285792,6.638943481366166
110.62,14.00875594542307,43.90695701539818,2.629991318465096,32.25179116492158,0.8515149655370126,6.35098959025506
110.64,13.55704596881936,44.22894277701231,2.772344224794224,31.71964544552715,0.8577333587422338,6.86428822510473
110.66,13.880973874154728,44.2765786840092,2.58348145102966,32.05596464248788,0.8410011272195098,6.362000221099011
110.68,13.449583331781948,44.1914345708786,2.617100299152388,31.89435008031222,0.8350366435486409,7.012495074326215
110.7,13.323281220951008,45.1370802689447,2.6202551969603234,31.242132314491684,0.8190597790400055,6.858191219612271
110.72,14.066436741010314,44.4201192723935,2.5864957603885386,31.879257238925675,0.8296214022193635,6.218069585062623
110.74,13.742301726088629,44.66129074125999,2.569958950584459,31.83402840959582,0.8329387327862509,6.359481439684846
110.76,13.673876178451541,44.909452943581016,2.584296323623511,31.741721541105957,0.8346214951428631,6.256031518095104
110.78,13.991232606607518,44.93548871178344,2.6111558238141486,31.46877609387959,0.83800188697699,6.1553448769383206
110.8,14.139925897886604,44.89708695544151,2.6564738581560556,31.3342754295192,0.8430687055083135,6.129169153488305
110.82,13.707314200642,45.207076337646576,2.6364579066049467,31.529594885822394,0.8369713631409663,6.082585306143106
110.84,14.030249613922585,45.09998162762666,2.67577038977455,31.262382735334526,0.8422595262303302,6.08935610711134
110.86,14.055342660453677,45.52822594758894,2.76053917368952,30.813062354436333,0.8366837733435964,6.006146090487941
110.88,14.166124701527844,45.71977032396494,2.9053894313816317,30.128973627935046,0.8543378509994858,6.22540406419105
110.9,14.142797847667374,45.545274540858166,3.02242605126428,29.980013083594354,0.8499721986421503,6.459516277973678
110.92,14.369660834626211,45.676353499612894,2.9675563755335412,29.84041935720791,0.8604410191864531,6.285568913832982
110.94,14.844300006560578,45.42875731687339,3.102989132629401,29.34411981086219,0.8613447172770116,6.418489015797428
110.96,14.40090734186742,45.57589727322802,3.274841267256374,29.095261114272475,0.8705533187285385,6.782539684647163
110.98,14.465342378710078,45.901473380106275,3.1360688566486585,29.279224061715013,0.8655658629977164,6.352325459822255
111.0,14.95362654497064,45.38647311764845,3.170548328098214,29.14467579469191,0.8711149045817984,6.473561310008985
111.02,14.510602702460378,45.445492134724134,3.030453324051636,29.73269577845354,0.8700880109381615,6.410668049372145
111.04,14.443071159038407,45.43539958410672,2.804284515754352,30.227366591022975,0.8551638497299976,6.234714300347555
111.06,14.116533497793379,45.26696465813711,2.857275794371478,30.47606425197358,0.8571159683186909,6.42604582940575
111.08,14.047582072585364,45.28062711198347,2.79365425923442,30.29768091047016,0.8506997819527046,6.729755863773884
111.1,14.066152206503835,45.24303891036079,2.7156497640611486,30.757649698474022,0.8502483457200851,6.367261074880128
